Beach Name,Date,Measurement Timestamp,DNA Reading Mean,Ecoli Predicted Level,Latitude_ecoli,Longitude_ecoli,Location_ecoli,Nearest Weather Station,Air Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation
12th Street,2017-05-30,05/30/2017 12:00:00 AM,227.7,53.2,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,19.7,49,0.0,0.0,33.1,0.0,260,3.8,6.0,990.1,1
57th Street,2017-05-30,05/30/2017 12:00:00 AM,63.2,47.2,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,19.7,49,0.0,0.0,33.1,0.0,260,3.8,6.0,990.1,1
Margaret T Burroughs (31st),2017-05-30,05/30/2017 12:00:00 AM,12.0,82.6,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,19.7,49,0.0,0.0,33.1,0.0,260,3.8,6.0,990.1,1
Oakwood,2017-05-30,05/30/2017 12:00:00 AM,20.0,33.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,19.7,49,0.0,0.0,33.1,0.0,260,3.8,6.0,990.1,1
12th Street,2017-05-31,05/31/2017 12:00:00 AM,31.0,83.0,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,17.9,60,0.0,0.0,33.5,0.0,261,1.9,2.7,991.7,1
57th Street,2017-05-31,05/31/2017 12:00:00 AM,58.1,54.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,17.9,60,0.0,0.0,33.5,0.0,261,1.9,2.7,991.7,1
Margaret T Burroughs (31st),2017-05-31,05/31/2017 12:00:00 AM,44.2,164.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,17.9,60,0.0,0.0,33.5,0.0,261,1.9,2.7,991.7,1
Oakwood,2017-05-31,05/31/2017 12:00:00 AM,19.0,37.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,17.9,60,0.0,0.0,33.5,0.0,261,1.9,2.7,991.7,1
12th Street,2017-06-02,06/02/2017 12:00:00 AM,125.1,109.0,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,17.4,57,0.0,0.0,33.5,0.0,158,0.9,1.9,995.5,2
57th Street,2017-06-02,06/02/2017 12:00:00 AM,107.5,82.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,17.4,57,0.0,0.0,33.5,0.0,158,0.9,1.9,995.5,2
Margaret T Burroughs (31st),2017-06-02,06/02/2017 12:00:00 AM,87.6,179.8,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,17.4,57,0.0,0.0,33.5,0.0,158,0.9,1.9,995.5,2
Oakwood,2017-06-02,06/02/2017 12:00:00 AM,84.6,49.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,17.4,57,0.0,0.0,33.5,0.0,158,0.9,1.9,995.5,2
12th Street,2017-06-07,06/07/2017 12:00:00 AM,61.4,79.2,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,14.9,81,0.0,0.0,33.8,0.0,20,3.8,6.5,996.1,2
57th Street,2017-06-07,06/07/2017 12:00:00 AM,153.3,54.2,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,14.9,81,0.0,0.0,33.8,0.0,20,3.8,6.5,996.1,2
Margaret T Burroughs (31st),2017-06-07,06/07/2017 12:00:00 AM,102.0,87.1,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,14.9,81,0.0,0.0,33.8,0.0,20,3.8,6.5,996.1,2
12th Street,2017-06-08,06/08/2017 12:00:00 AM,157.2,176.5,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,16.2,68,0.0,0.0,33.8,0.0,0,0.0,0.5,996.2,2
57th Street,2017-06-08,06/08/2017 12:00:00 AM,219.0,164.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,16.2,68,0.0,0.0,33.8,0.0,0,0.0,0.5,996.2,2
Margaret T Burroughs (31st),2017-06-08,06/08/2017 12:00:00 AM,149.9,204.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,16.2,68,0.0,0.0,33.8,0.0,0,0.0,0.5,996.2,2
Oakwood,2017-06-08,06/08/2017 12:00:00 AM,40.0,201.5,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,16.2,68,0.0,0.0,33.8,0.0,0,0.0,0.5,996.2,2
12th Street,2017-06-09,06/09/2017 12:00:00 AM,17.1,135.0,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,23.1,43,0.0,0.0,33.8,0.0,232,1.8,2.3,988.5,0
57th Street,2017-06-09,06/09/2017 12:00:00 AM,9.5,60.8,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,23.1,43,0.0,0.0,33.8,0.0,232,1.8,2.3,988.5,0
Margaret T Burroughs (31st),2017-06-09,06/09/2017 12:00:00 AM,65.1,114.1,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,23.1,43,0.0,0.0,33.8,0.0,232,1.8,2.3,988.5,0
Oakwood,2017-06-09,06/09/2017 12:00:00 AM,38.9,46.1,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,23.1,43,0.0,0.0,33.8,0.0,232,1.8,2.3,988.5,0
12th Street,2017-06-10,06/10/2017 12:00:00 AM,10.0,221.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,16.9,86,0.0,0.0,35.2,0.0,101,1.0,1.5,988.2,1
57th Street,2017-06-10,06/10/2017 12:00:00 AM,306.0,107.4,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,16.9,86,0.0,0.0,35.2,0.0,101,1.0,1.5,988.2,1
Margaret T Burroughs (31st),2017-06-10,06/10/2017 12:00:00 AM,243.7,379.8,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,16.9,86,0.0,0.0,35.2,0.0,101,1.0,1.5,988.2,1
Oakwood,2017-06-10,06/10/2017 12:00:00 AM,63.6,62.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,16.9,86,0.0,0.0,35.2,0.0,101,1.0,1.5,988.2,1
